,First of Month,Days Produced,Well Status,API County,API Sequence,API Sidetrack,Formation,BOM Inventory,Oil Produced,Oil Sold,Oil Adjustment,EOM Inventory,Oil Gravity,Gas Produced,Gas Flared,Gas Used,Gas Shrinkage,Gas Sold,Gas BTU,Gas Tubing Pressure,Gas Casing Pressure,Water Volume,Water Tubing Pressure,Water Casing Pressure,Water Disp Code
0,2020-04-01,1.0,PR,123,11077,0,NIOBRARA-FT HAYS-CODELL,181.0,137.0,177.0,,141.0,39.9,123.0,,,,123.0,1236.0,,,,,,
1,2020-03-01,3.0,PR,123,11077,0,NIOBRARA-FT HAYS-CODELL,147.0,202.0,168.0,,181.0,39.3,137.0,,,,137.0,1241.0,,,,,,
2,2020-02-01,1.0,PR,123,11077,0,NIOBRARA-FT HAYS-CODELL,129.0,19.0,,-1.0,147.0,,13.0,,,,13.0,1308.0,,,,,,
3,2020-02-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,19.0,,,,19.0,,,,,,,,,,,,,
4,2020-02-01,2.0,PR,123,11077,0,NIOBRARA,110.0,19.0,,-1.0,128.0,,13.0,,,,13.0,1308.0,,,,,,
5,2020-01-01,6.0,PR,123,11077,0,CODELL-FORT HAYS,,19.0,,,19.0,,19.0,,,,19.0,1243.0,,,,,,
6,2020-01-01,3.0,PR,123,11077,0,NIOBRARA,91.0,19.0,,,110.0,,18.0,,,,18.0,1243.0,,,,,,
7,2020-01-01,6.0,PR,123,11077,0,NIOBRARA-FT HAYS-CODELL,,129.0,,,129.0,,37.0,,,,37.0,1243.0,,,,,,
8,2019-12-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,,,,,,,,,,,,,,,,,,
9,2019-12-01,0.0,SI,123,11077,0,NIOBRARA,91.0,,,,91.0,,,,,,,,,,,,,
10,2019-11-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,1.0,,1.0,,,44.3,,,,,,,,,,,,
11,2019-11-01,18.0,PR,123,11077,0,NIOBRARA,171.0,89.0,170.0,1.0,91.0,44.3,52.0,,,,52.0,1231.0,,,,,,
12,2019-10-01,31.0,PR,123,11077,0,CODELL-FORT HAYS,1.0,,,,1.0,,24.0,,,,24.0,1250.0,,,,,,
13,2019-10-01,20.0,PR,123,11077,0,NIOBRARA,106.0,66.0,,-1.0,171.0,,24.0,,,,24.0,1250.0,,,,,,
14,2019-09-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,1.0,,,,1.0,,,,,,,,,,,,,
15,2019-09-01,7.0,PR,123,11077,0,NIOBRARA,88.0,17.0,,1.0,106.0,,11.0,,,,11.0,1182.0,,,,,,
16,2019-08-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,8.0,,1.0,40.0,,,,,,,,,,,,
17,2019-08-01,17.0,PR,123,11077,0,NIOBRARA,190.0,70.0,172.0,,88.0,40.0,52.0,,,,52.0,1250.0,,,,,,
18,2019-07-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
19,2019-07-01,31.0,PR,123,11077,0,NIOBRARA,116.0,75.0,,-1.0,190.0,,76.0,,,,76.0,1237.0,,,,,,
20,2019-06-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
21,2019-06-01,30.0,PR,123,11077,0,NIOBRARA,105.0,11.0,,,116.0,,95.0,,,,95.0,1242.0,,,,,,
22,2019-05-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
23,2019-05-01,9.0,PR,123,11077,0,NIOBRARA,105.0,,,,105.0,,35.0,,,,35.0,1229.0,,,,,,
24,2019-04-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
25,2019-04-01,1.0,PR,123,11077,0,NIOBRARA,104.0,1.0,,,105.0,,2.0,,,,2.0,1243.0,,,,,,
26,2019-03-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
27,2019-03-01,2.0,PR,123,11077,0,NIOBRARA,104.0,,,,104.0,,3.0,,,,3.0,1332.0,,,,,,
28,2019-02-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
29,2019-02-01,0.0,SI,123,11077,0,NIOBRARA,104.0,,,,104.0,,,,,,,,,,,,,
30,2019-01-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
31,2019-01-01,0.0,SI,123,11077,0,NIOBRARA,106.0,,,-2.0,104.0,,,,,,,,,,,,,
32,2018-12-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
33,2018-12-01,0.0,SI,123,11077,0,NIOBRARA,106.0,,,,106.0,,,,,,,,,,,,,
34,2018-11-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
35,2018-11-01,0.0,SI,123,11077,0,NIOBRARA,106.0,,,,106.0,,,,,,,,,,,,,
36,2018-10-01,0.0,SI,123,11077,0,NIOBRARA,106.0,,,,106.0,,,,,,,,,,,,,
37,2018-10-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
38,2018-09-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
39,2018-09-01,0.0,SI,123,11077,0,NIOBRARA,106.0,,,,106.0,,,,,,,,,,,,,
40,2018-08-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
41,2018-08-01,0.0,SI,123,11077,0,NIOBRARA,106.0,,,,106.0,,,,,,,,,,,,,
42,2018-07-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
43,2018-07-01,0.0,SI,123,11077,0,NIOBRARA,106.0,,,,106.0,,,,,,,,,,,,,
44,2018-06-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
45,2018-06-01,0.0,SI,123,11077,0,NIOBRARA,107.0,,,-1.0,106.0,,,,,,,,,,,,,
46,2018-05-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
47,2018-05-01,1.0,PR,123,11077,0,NIOBRARA,98.0,9.0,,,107.0,,,,,,,,,,,,,
48,2018-04-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
49,2018-04-01,1.0,PR,123,11077,0,NIOBRARA,63.0,35.0,,,98.0,,,,,,,,,,,,,
50,2018-03-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
51,2018-03-01,0.0,SI,123,11077,0,NIOBRARA,63.0,,,,63.0,,,,,,,,,,,,,
52,2018-02-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
53,2018-02-01,2.0,PR,123,11077,0,NIOBRARA,22.0,41.0,,,63.0,,,,,,,,,,,,,
54,2018-01-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
55,2018-01-01,0.0,SI,123,11077,0,NIOBRARA,22.0,,,,22.0,,,,,,,,,,,,,
56,2017-12-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
57,2017-12-01,0.0,SI,123,11077,0,NIOBRARA,22.0,,,,22.0,,,,,,,,,,,,,
58,2017-11-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
59,2017-11-01,0.0,SI,123,11077,0,NIOBRARA,22.0,,,,22.0,,,,,,,,,,,,,
60,2017-10-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,,,,,,
61,2017-10-01,1.0,PR,123,11077,0,NIOBRARA,5.0,17.0,,,22.0,,,,,,,,,,,,,
62,2017-09-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,0.0,0.0,,0.0,0.0,
63,2017-09-01,0.0,SI,123,11077,0,NIOBRARA,5.0,,,,5.0,,,,,,,,0.0,0.0,,0.0,0.0,
64,2017-08-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,0.0,0.0,,0.0,0.0,
65,2017-08-01,0.0,SI,123,11077,0,NIOBRARA,5.0,,,,5.0,,,,,,,,0.0,0.0,,0.0,0.0,
66,2017-07-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,0.0,0.0,,0.0,0.0,
67,2017-07-01,0.0,SI,123,11077,0,NIOBRARA,5.0,,,,5.0,,,,,,,,0.0,0.0,,0.0,0.0,
68,2017-07-01,0.0,SI,123,11077,0,NIOBRARA-FT HAYS-CODELL,9.0,,,,9.0,,,,,,,,,,,,,
69,2017-06-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,0.0,0.0,,0.0,0.0,
70,2017-06-01,0.0,SI,123,11077,0,NIOBRARA,5.0,,,,5.0,,,,,,,,0.0,0.0,,0.0,0.0,
71,2017-05-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,0.0,0.0,,0.0,0.0,
72,2017-05-01,0.0,SI,123,11077,0,NIOBRARA,5.0,,,,5.0,,,,,,,,0.0,0.0,,0.0,0.0,
73,2017-04-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,0.0,0.0,,0.0,0.0,
74,2017-04-01,0.0,SI,123,11077,0,NIOBRARA,5.0,,,,5.0,,,,,,,,0.0,0.0,,0.0,0.0,
75,2017-03-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,0.0,0.0,,0.0,0.0,
76,2017-03-01,0.0,SI,123,11077,0,NIOBRARA,5.0,,,,5.0,,,,,,,,0.0,0.0,,0.0,0.0,
77,2017-02-01,9.0,PR,123,11077,0,NIOBRARA,4.0,,,1.0,5.0,,13.0,,9.0,,4.0,1000.0,0.0,0.0,,0.0,0.0,
78,2017-02-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,9.0,,,,9.0,,,,,,,,0.0,0.0,,0.0,0.0,
79,2017-01-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,173.0,,164.0,,9.0,40.0,,,,,,,0.0,0.0,,0.0,0.0,
80,2017-01-01,19.0,PR,123,11077,0,NIOBRARA,,4.0,,,4.0,,20.0,,18.0,,2.0,1501.0,0.0,0.0,,0.0,0.0,
81,2016-12-01,0.0,TA,123,11077,0,CODELL-FORT HAYS,173.0,,,,173.0,,,,,,,,0.0,0.0,,0.0,0.0,
82,2016-11-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,173.0,,,,173.0,,,,,,,,0.0,0.0,,0.0,0.0,
83,2016-10-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,173.0,,,,173.0,,,,,,,,0.0,0.0,,0.0,0.0,
84,2016-09-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,173.0,,,,173.0,,,,,,,,0.0,0.0,,0.0,0.0,
85,2016-08-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,173.0,,,,173.0,,,,,,,,0.0,0.0,,0.0,0.0,
86,2016-07-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,173.0,,,,173.0,,,,,,,,0.0,0.0,,0.0,0.0,
87,2016-06-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,173.0,,,,173.0,,,,,,,,0.0,0.0,,,0.0,
88,2016-05-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,173.0,,,,173.0,,,,,,,,0.0,0.0,,0.0,0.0,
89,2016-04-01,1.0,PR,123,11077,0,CODELL-FORT HAYS,165.0,164.0,156.0,,173.0,40.0,,,,,,,0.0,0.0,,0.0,0.0,
90,2016-03-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,165.0,,,,165.0,,,,,,,,0.0,0.0,,0.0,0.0,
91,2016-02-01,3.0,PR,123,11077,0,CODELL-FORT HAYS,153.0,12.0,,,165.0,,7.0,,,,7.0,1285.0,0.0,0.0,,0.0,0.0,
92,2016-01-01,7.0,PR,123,11077,0,CODELL-FORT HAYS,130.0,23.0,,,153.0,,8.0,,4.0,,4.0,1251.0,0.0,0.0,,0.0,0.0,
93,2015-12-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,130.0,,,,130.0,,,,,,,,0.0,0.0,,0.0,0.0,
94,2015-11-01,13.0,PR,123,11077,0,CODELL-FORT HAYS,91.0,39.0,,,130.0,,15.0,,9.0,,6.0,1167.0,0.0,0.0,,0.0,0.0,
95,2015-10-01,1.0,PR,123,11077,0,CODELL-FORT HAYS,59.0,32.0,,,91.0,,2.0,,1.0,,1.0,1991.0,0.0,0.0,,0.0,0.0,
96,2015-09-01,1.0,PR,123,11077,0,CODELL-FORT HAYS,59.0,,,,59.0,,10.0,,,,10.0,1301.0,0.0,0.0,,0.0,0.0,
97,2015-08-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,59.0,,,,59.0,,,,,,,,0.0,0.0,,0.0,0.0,
98,2015-07-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,59.0,,,,59.0,,,,,,,,0.0,0.0,,0.0,0.0,
99,2015-06-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,59.0,,,,59.0,,,,,,,,0.0,0.0,,0.0,0.0,
100,2015-05-01,1.0,PR,123,11077,0,CODELL-FORT HAYS,59.0,,,,59.0,,100.0,,,,100.0,1240.0,0.0,0.0,,0.0,0.0,
101,2015-04-01,7.0,PR,123,11077,0,CODELL-FORT HAYS,54.0,5.0,,,59.0,,36.0,,7.0,,29.0,1241.0,0.0,0.0,,0.0,0.0,
102,2015-03-01,,SI,123,11077,0,CODELL-FORT HAYS,54.0,,,,54.0,,,,,,,,0.0,0.0,,0.0,0.0,
103,2015-02-01,8.0,PR,123,11077,0,CODELL-FORT HAYS,40.0,15.0,,-1.0,54.0,,34.0,,8.0,,26.0,1269.0,0.0,0.0,,0.0,0.0,
104,2015-01-01,5.0,PR,123,11077,0,CODELL-FORT HAYS,216.0,2.0,178.0,,40.0,42.2,29.0,,4.0,,25.0,1280.0,0.0,0.0,,0.0,0.0,
105,2014-12-01,,SI,123,11077,0,CODELL-FORT HAYS,216.0,,,,216.0,,,,,,,,0.0,0.0,,0.0,0.0,
106,2014-11-01,8.0,PR,123,11077,0,CODELL-FORT HAYS,198.0,19.0,,-1.0,216.0,,30.0,,8.0,,22.0,1273.0,0.0,0.0,,0.0,0.0,
107,2014-10-01,5.0,PR,123,11077,0,CODELL-FORT HAYS,160.0,38.0,,,198.0,,29.0,,5.0,,24.0,1292.0,0.0,0.0,,0.0,0.0,
108,2014-09-01,18.0,PR,123,11077,0,CODELL-FORT HAYS,44.0,115.0,,1.0,160.0,,112.0,,17.0,,95.0,1263.0,0.0,0.0,,0.0,0.0,
109,2014-08-01,2.0,PR,123,11077,0,CODELL-FORT HAYS,44.0,,,,44.0,,37.0,,2.0,,35.0,1257.0,0.0,0.0,24.0,0.0,0.0,M
110,2014-07-01,,SI,123,11077,0,CODELL-FORT HAYS,44.0,,,,44.0,,,,,,,,0.0,0.0,,0.0,0.0,
111,2014-06-01,5.0,PR,123,11077,0,CODELL-FORT HAYS,44.0,,,,44.0,,7.0,,5.0,,2.0,1501.0,0.0,0.0,,0.0,0.0,
112,2014-05-01,1.0,PR,123,11077,0,CODELL-FORT HAYS,44.0,,,,44.0,,8.0,,1.0,,7.0,1285.0,0.0,0.0,,0.0,0.0,
113,2014-04-01,9.0,PR,123,11077,0,CODELL-FORT HAYS,44.0,,,,44.0,,86.0,,9.0,,77.0,1273.0,0.0,0.0,,0.0,0.0,
114,2014-03-01,3.0,PR,123,11077,0,CODELL-FORT HAYS,44.0,,,,44.0,,21.0,,3.0,,18.0,1278.0,0.0,0.0,,0.0,0.0,
115,2014-02-01,1.0,PR,123,11077,0,CODELL-FORT HAYS,44.0,,,,44.0,,13.0,,1.0,,12.0,1250.0,0.0,0.0,,0.0,0.0,
116,2014-01-01,,SI,123,11077,0,CODELL,165.0,,,,165.0,,,,,,,,,,,,,
117,2014-01-01,0.0,SI,123,11077,0,CODELL-FORT HAYS,165.0,,,,165.0,,,,,,,,,,,,,
118,2013-12-01,1.0,PR,123,11077,0,CODELL-FORT HAYS,165.0,,,,165.0,,11.0,,,,11.0,1269.0,,,,,,
119,2013-12-01,1.0,PR,123,11077,0,CODELL,165.0,,,,165.0,,11.0,,,,11.0,1269.0,,,,,,
120,2013-11-01,26.0,PR,123,11077,0,CODELL,165.0,,,,165.0,,58.0,,,,58.0,1269.0,,,,,,
121,2013-11-01,26.0,PR,123,11077,0,CODELL-FORT HAYS,165.0,,,,165.0,,58.0,,,,58.0,1269.0,,,,,,
122,2013-10-01,16.0,PR,123,11077,0,CODELL-FORT HAYS,132.0,33.0,,,165.0,,59.0,,,,59.0,1268.0,,,,,,
123,2013-10-01,16.0,PR,123,11077,0,CODELL,132.0,33.0,,,165.0,,59.0,,,,59.0,1268.0,,,,,,
124,2013-09-01,18.0,PR,123,11077,0,CODELL,80.0,52.0,,,132.0,,73.0,,,,73.0,1269.0,,,,,,
125,2013-09-01,18.0,PR,123,11077,0,CODELL-FORT HAYS,80.0,52.0,,,132.0,,73.0,,,,73.0,1269.0,,,,,,
126,2013-08-01,31.0,PR,123,11077,0,CODELL-FORT HAYS,177.0,78.0,175.0,,80.0,41.9,50.0,,,,50.0,1268.0,,,28.0,,,I
127,2013-08-01,31.0,PR,123,11077,0,CODELL,177.0,78.0,175.0,,80.0,41.9,50.0,,,,50.0,1268.0,,,28.0,,,I
128,2013-07-01,10.0,PR,123,11077,0,CODELL,153.0,24.0,,,177.0,,66.0,,,,66.0,1257.0,,,,,,
129,2013-07-01,10.0,PR,123,11077,0,CODELL-FORT HAYS,153.0,24.0,,,177.0,,66.0,,,,66.0,1257.0,,,,,,
130,2013-06-01,1.0,PR,123,11077,0,CODELL-FORT HAYS,115.0,38.0,,,153.0,,60.0,,,,60.0,1258.0,,,,,,
131,2013-06-01,1.0,PR,123,11077,0,CODELL,115.0,38.0,,,153.0,,60.0,,,,60.0,1258.0,,,,,,
132,2013-05-01,1.0,PR,123,11077,0,CODELL,82.0,33.0,,,115.0,,33.0,,,,33.0,1257.0,,,,,,
133,2013-05-01,1.0,PR,123,11077,0,CODELL-FORT HAYS,82.0,33.0,,,115.0,,33.0,,,,33.0,1257.0,,,,,,
134,2013-04-01,4.0,PR,123,11077,0,CODELL-FORT HAYS,31.0,51.0,,,82.0,,79.0,,,,79.0,1257.0,,,,,,
135,2013-04-01,4.0,PR,123,11077,0,CODELL,31.0,51.0,,,82.0,,79.0,,,,79.0,1257.0,,,,,,
136,2013-03-01,31.0,PR,123,11077,0,CODELL,167.0,51.0,187.0,,31.0,43.6,56.0,,,,56.0,1258.0,,,,,,
137,2013-03-01,31.0,PR,123,11077,0,CODELL-FORT HAYS,167.0,51.0,187.0,,31.0,43.6,56.0,,,,56.0,1258.0,,,,,,
138,2013-02-01,28.0,PR,123,11077,0,CODELL-FORT HAYS,122.0,45.0,,,167.0,,42.0,,,,42.0,1258.0,,,,,,
139,2013-02-01,28.0,PR,123,11077,0,CODELL,122.0,45.0,,,167.0,,42.0,,,,42.0,1258.0,,,,,,
140,2013-01-01,31.0,PR,123,11077,0,CODELL,101.0,21.0,,,122.0,,71.0,,,,71.0,1257.0,,,,,,
141,2013-01-01,31.0,PR,123,11077,0,CODELL-FORT HAYS,101.0,21.0,,,122.0,,71.0,,,,71.0,1257.0,,,,,,
142,2012-12-01,31.0,PR,123,11077,0,CODELL-FORT HAYS,74.0,27.0,,,101.0,,29.0,,,,29.0,1257.0,,,,,,
143,2012-12-01,31.0,PR,123,11077,0,CODELL,74.0,27.0,,,101.0,,29.0,,,,29.0,1257.0,,,,,,
